Split,A_Train,A_Val,A_Val_Acc,A_CASIA,A_CalliBench,B_Train,B_Val,B_Val_Acc,B_CASIA,B_CalliBench
50/50,244,244,0.5551020408163265,0.15254237288135594,1.0,143,143,0.9230769230769231,1.0,0.15789473684210525
60/40,293,195,0.6479591836734694,0.4406779661016949,0.47368421052631576,171,114,0.9565,0.9831,0.0526
70/30,342,146,0.5374149659863946,0.1694915254237288,0.0,200,85,0.9534883720930233,1.0,0.05263157894736842
80/20,391,97,0.7346938775510204,0.3428,1.0,228,57,0.9482758620689655,0.2663,0.0526
90/10,440,48,0.6939,0.6949,0.9474,257,28,0.9655172413793104,0.9830508474576272,0.05263157894736842
